peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
FP,323,0.323,,
FP,624,0.624,,
TP,993,0.993,1008,-15.0
FN,,,1462,
FP,1583,1.583,,
TP,1892,1.892,1874,18.0
FP,2214,2.214,,
FN,,,2276,
FP,2564,2.564,,
FN,,,2684,
FP,3025,3.025,,
FN,,,3085,
FN,,,3490,
FP,3579,3.579,,
FN,,,3895,
FP,4075,4.075,,
FN,,,4301,
TP,4671,4.671,4703,-32.0
TP,5081,5.081,5105,-24.0
FN,,,5508,
TP,5890,5.89,5909,-19.0
FN,,,6310,
FP,6484,6.484,,
FN,,,6711,
FP,6840,6.84,,
FN,,,7113,
FP,7192,7.192,,
TP,7507,7.507,7512,-5.0
TP,7908,7.908,7911,-3.0
TP,8332,8.332,8309,23.0
FP,8632,8.632,,
FN,,,8707,
FP,8939,8.939,,
FN,,,9103,
TP,9507,9.507,9501,6.0
TP,9859,9.859,9897,-38.0
FN,,,10292,
FP,10360,10.36,,
TP,10690,10.69,10687,3.0
TP,11107,11.107,11083,24.0
TP,11443,11.443,11480,-37.0
TP,11831,11.831,11875,-44.0
TP,12269,12.269,12270,-1.0
TP,12665,12.665,12664,1.0
FN,,,13057,
FP,13269,13.269,,
FN,,,13451,
TP,13814,13.814,13844,-30.0
TP,14216,14.216,14236,-20.0
FN,,,14629,
FP,14742,14.742,,
FN,,,15021,
FP,15115,15.115,,
FN,,,15413,
FP,15625,15.625,,
FN,,,15804,
TP,16182,16.182,16195,-13.0
FN,,,16585,
FP,16763,16.763,,
FN,,,16976,
TP,17327,17.327,17366,-39.0
TP,17737,17.737,17756,-19.0
TP,18160,18.16,18146,14.0
FP,18462,18.462,,
FN,,,18536,
TP,18950,18.95,18927,23.0
TP,19341,19.341,19320,21.0
TP,19716,19.716,19714,2.0
TP,20107,20.107,20107,0.0
TP,20523,20.523,20499,24.0
TP,20904,20.904,20892,12.0
TP,21282,21.282,21283,-1.0
TP,21637,21.637,21675,-38.0
TP,22050,22.05,22068,-18.0
TP,22463,22.463,22461,2.0
FP,22791,22.791,,
FN,,,22854,
FP,23108,23.108,,
FN,,,23248,
FP,23567,23.567,,
FN,,,23641,
FP,23876,23.876,,
FN,,,24036,
TP,24434,24.434,24431,3.0
TP,24831,24.831,24825,6.0
TP,25245,25.245,25221,24.0
TP,25640,25.64,25617,23.0
TP,25997,25.997,26013,-16.0
TP,26438,26.438,26412,26.0
FN,,,26811,
FP,26885,26.885,,
TP,27191,27.191,27210,-19.0
TP,27574,27.574,27610,-36.0
TP,27971,27.971,28010,-39.0
TP,28393,28.393,28411,-18.0
TP,28814,28.814,28808,6.0
TP,29190,29.19,29204,-14.0
FN,,,29599,
FP,29683,29.683,,
TP,30010,30.01,29994,16.0
FP,30313,30.313,,
FN,,,30390,
TP,30787,30.787,30785,2.0
FN,,,31180,
FP,31235,31.235,,
FN,,,31576,
FP,31636,31.636,,
FN,,,31971,
FP,32057,32.057,,
TP,32365,32.365,32366,-1.0
TP,32712,32.712,32760,-48.0
TP,33151,33.151,33153,-2.0
TP,33543,33.543,33546,-3.0
TP,33938,33.938,33937,1.0
TP,34321,34.321,34328,-7.0
FP,34629,34.629,,
FN,,,34717,
TP,35088,35.088,35107,-19.0
FP,35398,35.398,,
FN,,,35496,
FP,35718,35.718,,
FN,,,35884,
FP,36135,36.135,,
FN,,,36270,
TP,36665,36.665,36657,8.0
TP,37049,37.049,37041,8.0
TP,37408,37.408,37426,-18.0
TP,37816,37.816,37810,6.0
FN,,,38191,
FP,38420,38.42,,
FN,,,38573,
FP,38749,38.749,,
FN,,,38953,
TP,39317,39.317,39333,-16.0
FN,,,39711,
FP,39838,39.838,,
FN,,,40089,
FP,40240,40.24,,
FN,,,40466,
FN,,,40842,
FP,41036,41.036,,
FN,,,41219,
TP,41602,41.602,41596,6.0
TP,41956,41.956,41973,-17.0
FN,,,42350,
FP,42662,42.662,,
FN,,,42728,
TP,43107,43.107,43107,0.0
TP,43497,43.497,43485,12.0
FP,43797,43.797,,
FN,,,43864,
TP,44264,44.264,44243,21.0
TP,44628,44.628,44625,3.0
FP,44949,44.949,,
FN,,,45026,
TP,45424,45.424,45421,3.0
FN,,,45811,
FP,45996,45.996,,
FN,,,46215,
FP,46449,46.449,,
FN,,,46608,
FP,46868,46.868,,
FN,,,47004,
FN,,,47407,
FP,47463,47.463,,
TP,47799,47.799,47810,-11.0
FN,,,48213,
FP,48394,48.394,,
FN,,,48624,
FP,48914,48.914,,
FN,,,49035,
FP,49347,49.347,,
FN,,,49441,
FP,49778,49.778,,
FN,,,49863,
FP,50233,50.233,,
FN,,,50290,
FP,50587,50.587,,
FN,,,50707,
TP,51126,51.126,51120,6.0
FP,51470,51.47,,
FN,,,51537,
TP,51953,51.953,51953,0.0
FN,,,52384,
FP,52553,52.553,,
FN,,,52818,
FP,52957,52.957,,
TP,53257,53.257,53252,5.0
TP,53691,53.691,53690,1.0
TP,54136,54.136,54128,8.0
FN,,,54567,
FP,54786,54.786,,
FN,,,55007,
FP,55347,55.347,,
FN,,,55449,
TP,55889,55.889,55884,5.0
FP,56237,56.237,,
FN,,,56317,
FP,56656,56.656,,
FN,,,56747,
FP,56973,56.973,,
FN,,,57174,
FP,57285,57.285,,
TP,57603,57.603,57599,4.0
FP,57915,57.915,,
FN,,,58024,
TP,58485,58.485,58460,25.0
FP,58822,58.822,,
FN,,,58895,
FP,59174,59.174,,
FN,,,59318,
FP,59487,59.487,,
FN,,,59745,
FP,59930,59.93,,
