peak_type,detected_sample,detected_time_sec,reference_sample,offset_ms
TP,153,0.153,150,3.0
TP,634,0.634,632,2.0
TP,1113,1.113,1109,4.0
TP,1596,1.596,1592,4.0
TP,2074,2.074,2071,3.0
TP,2551,2.551,2547,4.0
TP,3025,3.025,3022,3.0
TP,3498,3.498,3496,2.0
TP,3972,3.972,3969,3.0
TP,4451,4.451,4447,4.0
TP,4931,4.931,4928,3.0
TP,5411,5.411,5408,3.0
TP,5889,5.889,5887,2.0
TP,6378,6.378,6375,3.0
TP,6871,6.871,6868,3.0
TP,7364,7.364,7361,3.0
TP,7861,7.861,7857,4.0
TP,8351,8.351,8347,4.0
TP,8846,8.846,8841,5.0
TP,9339,9.339,9335,4.0
TP,9839,9.839,9835,4.0
TP,10346,10.346,10342,4.0
TP,10843,10.843,10840,3.0
FN,,,11335,
TP,11827,11.827,11824,3.0
TP,12320,12.32,12317,3.0
TP,12812,12.812,12803,9.0
TP,13292,13.292,13288,4.0
TP,13775,13.775,13771,4.0
TP,14255,14.255,14251,4.0
TP,14732,14.732,14729,3.0
TP,15207,15.207,15203,4.0
TP,15681,15.681,15677,4.0
TP,16152,16.152,16148,4.0
TP,16620,16.62,16617,3.0
TP,17088,17.088,17084,4.0
TP,17554,17.554,17551,3.0
TP,18020,18.02,18017,3.0
TP,18484,18.484,18480,4.0
TP,18946,18.946,18943,3.0
TP,19408,19.408,19405,3.0
TP,19869,19.869,19867,2.0
TP,20331,20.331,20328,3.0
FN,,,20789,
TP,21254,21.254,21250,4.0
TP,21715,21.715,21711,4.0
TP,22175,22.175,22172,3.0
TP,22635,22.635,22633,2.0
TP,23101,23.101,23097,4.0
TP,23566,23.566,23562,4.0
TP,24033,24.033,24029,4.0
TP,24500,24.5,24496,4.0
TP,24968,24.968,24964,4.0
TP,25438,25.438,25435,3.0
TP,25906,25.906,25903,3.0
TP,26377,26.377,26372,5.0
TP,26851,26.851,26847,4.0
TP,27329,27.329,27325,4.0
TP,27805,27.805,27801,4.0
TP,28291,28.291,28288,3.0
TP,28778,28.778,28774,4.0
TP,29258,29.258,29254,4.0
TP,29735,29.735,29731,4.0
TP,30214,30.214,30209,5.0
TP,30691,30.691,30688,3.0
TP,31170,31.17,31167,3.0
TP,31650,31.65,31646,4.0
TP,32128,32.128,32124,4.0
TP,32605,32.605,32601,4.0
TP,33085,33.085,33081,4.0
TP,33570,33.57,33567,3.0
TP,34055,34.055,34051,4.0
TP,34544,34.544,34540,4.0
TP,35033,35.033,35030,3.0
TP,35522,35.522,35519,3.0
TP,36011,36.011,36008,3.0
TP,36496,36.496,36493,3.0
TP,36988,36.988,36985,3.0
TP,37463,37.463,37476,-13.0
TP,37974,37.974,37970,4.0
TP,38464,38.464,38460,4.0
TP,38950,38.95,38946,4.0
TP,39431,39.431,39428,3.0
TP,39913,39.913,39909,4.0
TP,40391,40.391,40388,3.0
TP,40868,40.868,40864,4.0
TP,41344,41.344,41341,3.0
TP,41821,41.821,41818,3.0
TP,42294,42.294,42291,3.0
TP,42766,42.766,42763,3.0
TP,43240,43.24,43237,3.0
TP,43725,43.725,43722,3.0
TP,44208,44.208,44206,2.0
TP,44695,44.695,44692,3.0
TP,45181,45.181,45178,3.0
TP,45667,45.667,45664,3.0
TP,46156,46.156,46152,4.0
TP,46646,46.646,46643,3.0
TP,47138,47.138,47132,6.0
TP,47624,47.624,47620,4.0
TP,48111,48.111,48106,5.0
TP,48596,48.596,48593,3.0
TP,49081,49.081,49078,3.0
TP,49568,49.568,49563,5.0
TP,50051,50.051,50048,3.0
TP,50540,50.54,50536,4.0
TP,51025,51.025,51022,3.0
TP,51512,51.512,51508,4.0
TP,51995,51.995,51991,4.0
TP,52478,52.478,52475,3.0
TP,52961,52.961,52957,4.0
TP,53439,53.439,53436,3.0
TP,53918,53.918,53915,3.0
TP,54399,54.399,54396,3.0
TP,54878,54.878,54873,5.0
TP,55354,55.354,55351,3.0
TP,55838,55.838,55835,3.0
TP,56319,56.319,56315,4.0
TP,56799,56.799,56795,4.0
TP,57284,57.284,57280,4.0
TP,57771,57.771,57768,3.0
TP,58255,58.255,58254,1.0
TP,58739,58.739,58738,1.0
TP,59221,59.221,59218,3.0
TP,59701,59.701,59699,2.0
TP,60183,60.183,60181,2.0
TP,60670,60.67,60666,4.0
TP,61153,61.153,61149,4.0
TP,61636,61.636,61632,4.0
TP,62117,62.117,62114,3.0
TP,62596,62.596,62593,3.0
TP,63077,63.077,63073,4.0
TP,63555,63.555,63553,2.0
TP,64037,64.037,64033,4.0
TP,64518,64.518,64513,5.0
TP,65003,65.003,65000,3.0
TP,65489,65.489,65486,3.0
TP,65973,65.973,65971,2.0
TP,66457,66.457,66455,2.0
TP,66950,66.95,66946,4.0
TP,67435,67.435,67432,3.0
TP,67919,67.919,67916,3.0
TP,68401,68.401,68397,4.0
TP,68880,68.88,68876,4.0
TP,69358,69.358,69354,4.0
TP,69833,69.833,69830,3.0
TP,70307,70.307,70303,4.0
TP,70781,70.781,70777,4.0
TP,71255,71.255,71251,4.0
TP,71726,71.726,71722,4.0
TP,72198,72.198,72194,4.0
TP,72670,72.67,72667,3.0
TP,73147,73.147,73143,4.0
TP,73626,73.626,73622,4.0
TP,74102,74.102,74101,1.0
TP,74584,74.584,74580,4.0
TP,75077,75.077,75057,20.0
TP,75540,75.54,75537,3.0
TP,76021,76.021,76017,4.0
TP,76499,76.499,76496,3.0
TP,76977,76.977,76975,2.0
TP,77461,77.461,77456,5.0
TP,77956,77.956,77941,15.0
TP,78429,78.429,78426,3.0
TP,78916,78.916,78912,4.0
TP,79402,79.402,79398,4.0
TP,79889,79.889,79886,3.0
TP,80384,80.384,80380,4.0
TP,80874,80.874,80870,4.0
TP,81369,81.369,81364,5.0
TP,81859,81.859,81855,4.0
TP,82351,82.351,82347,4.0
TP,82842,82.842,82838,4.0
TP,83334,83.334,83328,6.0
TP,83819,83.819,83815,4.0
TP,84304,84.304,84301,3.0
TP,84792,84.792,84787,5.0
TP,85280,85.28,85276,4.0
TP,85765,85.765,85762,3.0
TP,86261,86.261,86254,7.0
TP,86754,86.754,86751,3.0
TP,87273,87.273,87267,6.0
TP,87812,87.812,87808,4.0
TP,88359,88.359,88354,5.0
TP,88929,88.929,88927,2.0
TP,89518,89.518,89515,3.0
TP,90102,90.102,90100,2.0
TP,90679,90.679,90674,5.0
TP,91240,91.24,91237,3.0
TP,91797,91.797,91794,3.0
TP,92365,92.365,92361,4.0
TP,92940,92.94,92936,4.0
TP,93525,93.525,93520,5.0
TP,94111,94.111,94107,4.0
TP,94691,94.691,94687,4.0
TP,95267,95.267,95261,6.0
TP,95822,95.822,95836,-14.0
TP,96389,96.389,96401,-12.0
TP,96989,96.989,96974,15.0
TP,97543,97.543,97538,5.0
TP,98104,98.104,98100,4.0
TP,98667,98.667,98663,4.0
TP,99233,99.233,99227,6.0
TP,99794,99.794,99790,4.0
TP,100342,100.342,100338,4.0
TP,100876,100.876,100874,2.0
TP,101398,101.398,101394,4.0
TP,101908,101.908,101905,3.0
TP,102424,102.424,102427,-3.0
TP,102945,102.945,102958,-13.0
TP,103544,103.544,103510,34.0
TP,104056,104.056,104052,4.0
TP,104591,104.591,104586,5.0
TP,105125,105.125,105120,5.0
TP,105642,105.642,105637,5.0
TP,106151,106.151,106148,3.0
TP,106676,106.676,106672,4.0
TP,107190,107.19,107181,9.0
TP,107686,107.686,107684,2.0
TP,108198,108.198,108193,5.0
TP,108706,108.706,108702,4.0
TP,109209,109.209,109205,4.0
TP,109709,109.709,109705,4.0
TP,110189,110.189,110201,-12.0
TP,110699,110.699,110695,4.0
TP,111188,111.188,111185,3.0
TP,111680,111.68,111677,3.0
TP,112173,112.173,112170,3.0
TP,112663,112.663,112659,4.0
TP,113172,113.172,113147,25.0
TP,113641,113.641,113637,4.0
TP,114128,114.128,114124,4.0
TP,114613,114.613,114609,4.0
TP,115098,115.098,115095,3.0
TP,115570,115.57,115582,-12.0
TP,116072,116.072,116067,5.0
TP,116555,116.555,116551,4.0
TP,117036,117.036,117033,3.0
TP,117516,117.516,117513,3.0
TP,117998,117.998,117993,5.0
TP,118483,118.483,118480,3.0
TP,118977,118.977,118974,3.0
TP,119466,119.466,119462,4.0
TP,119956,119.956,119953,3.0
TP,120453,120.453,120450,3.0
TP,120954,120.954,120949,5.0
TP,121448,121.448,121444,4.0
TP,121939,121.939,121936,3.0
TP,122431,122.431,122428,3.0
TP,122923,122.923,122918,5.0
TP,123391,123.391,123404,-13.0
TP,123910,123.91,123907,3.0
TP,124414,124.414,124409,5.0
TP,124926,124.926,124923,3.0
TP,125447,125.447,125442,5.0
TP,125949,125.949,125946,3.0
TP,126445,126.445,126441,4.0
TP,126939,126.939,126936,3.0
TP,127442,127.442,127437,5.0
TP,127944,127.944,127940,4.0
