timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260624_133318,a01,PHASE_cinc2013,,,,,95.8621,96.5278,96.1938,139.0,5.0,6.0,2.862,144.0,145.0
20260624_133318,a02,PHASE_cinc2013,,,,,21.25,26.9841,23.7762,34.0,92.0,126.0,34.8876,126.0,160.0
20260624_133318,a03,PHASE_cinc2013,,,,,92.9687,100.0,96.3563,119.0,0.0,9.0,6.4286,119.0,128.0
20260624_133318,a04,PHASE_cinc2013,,,,,98.4496,97.6923,98.0695,127.0,3.0,2.0,2.7769,130.0,129.0
20260624_133318,a05,PHASE_cinc2013,,,,,96.124,99.2,97.6378,124.0,1.0,5.0,3.8768,125.0,129.0
20260624_133318,a06,PHASE_cinc2013,,,,,58.125,69.9248,63.4812,93.0,40.0,67.0,28.209,133.0,160.0
20260624_133318,a07,PHASE_cinc2013,,,,,43.0769,47.4576,45.1613,56.0,62.0,74.0,30.291,118.0,130.0
20260624_133318,a08,PHASE_cinc2013,,,,,98.4375,100.0,99.2126,126.0,0.0,2.0,1.7601,126.0,128.0
20260624_133318,a09,PHASE_cinc2013,,,,,29.2308,33.0435,31.0204,38.0,77.0,92.0,30.7797,115.0,130.0
20260624_133318,a10,PHASE_cinc2013,,,,,70.2857,82.5503,75.9259,123.0,26.0,52.0,23.9095,149.0,175.0
20260624_133318,a11,PHASE_cinc2013,,,,,20.0,27.7228,23.2365,28.0,73.0,112.0,41.3882,101.0,140.0
20260624_133318,a12,PHASE_cinc2013,,,,,96.3768,100.0,98.155,133.0,0.0,5.0,4.2391,133.0,138.0
20260624_133318,a13,PHASE_cinc2013,,,,,92.0635,96.6667,94.3089,116.0,4.0,10.0,5.8501,120.0,126.0
20260624_133318,a14,PHASE_cinc2013,,,,,90.2439,96.5217,93.2773,111.0,4.0,12.0,8.7678,115.0,123.0
20260624_133318,a15,PHASE_cinc2013,,,,,97.7612,100.0,98.8679,131.0,0.0,3.0,2.8774,131.0,134.0
20260624_133318,a16,PHASE_cinc2013,,,,,14.6154,19.3878,16.6667,19.0,79.0,111.0,35.3199,98.0,130.0
20260624_133318,a17,PHASE_cinc2013,,,,,99.2424,99.2424,99.2424,131.0,1.0,1.0,1.454,132.0,132.0
