recording,F1_median,F1_svd,CC_median,CC_svd,chosen_path_median,chosen_path_svd
a01,96.55172413286446,87.88927335134062,nan,nan,A_ICA1_direct_IC1_148bpm,C_TemplateSub_ICA3_IC2_147bpm
a02,23.776223771277813,23.776223771277813,nan,nan,A_ICA1_direct_IC3_127bpm,A_ICA1_direct_IC3_127bpm
a03,98.4374999949231,98.4374999949231,nan,nan,C_TemplateSub_ICA3_IC2_129bpm,C_TemplateSub_ICA3_IC3_129bpm
a04,99.9999999949225,99.9999999949225,nan,nan,C_TemplateSub_ICA3_IC3_130bpm,C_TemplateSub_ICA3_IC3_130bpm
a05,99.22480619647348,99.22480619647348,nan,nan,C_TemplateSub_ICA3_IC3_129bpm,C_TemplateSub_ICA3_IC3_129bpm
a06,61.643835611442114,61.643835611442114,nan,nan,A_ICA1_direct_IC1_142bpm,A_ICA1_direct_IC1_142bpm
a07,55.64516128528941,55.870445339098175,nan,nan,C_spectral_IC4_128bpm,C_TemplateSub_ICA3_IC4_128bpm
a08,99.21874999492249,99.21874999492249,nan,nan,C_TemplateSub_ICA3_IC3_128bpm,C_TemplateSub_ICA3_IC3_128bpm
a09,51.19999999496703,47.77327934720189,nan,nan,C_spectral_IC1_131bpm,C_spectral_IC1_128bpm
a10,75.69230768729071,75.69230768729071,nan,nan,A_ICA1_direct_IC3_157bpm,A_ICA1_direct_IC3_157bpm
a11,64.4194756503943,65.16853932080573,nan,nan,C_TemplateSub_ICA3_IC3_135bpm,C_TemplateSub_ICA3_IC3_135bpm
a12,99.27536231376864,99.27536231376864,nan,nan,C_TemplateSub_ICA3_IC1_138bpm,C_TemplateSub_ICA3_IC1_138bpm
a13,99.99999999492064,99.99999999492064,nan,nan,C_TemplateSub_ICA3_IC3_126bpm,C_TemplateSub_ICA3_IC3_126bpm
a14,99.5951416953243,99.5951416953243,nan,nan,C_TemplateSub_ICA3_IC2_124bpm,C_TemplateSub_ICA3_IC2_124bpm
a15,99.99999999492539,99.99999999492539,nan,nan,C_TemplateSub_ICA3_IC3_135bpm,C_TemplateSub_ICA3_IC1_135bpm
a16,19.999999995147107,21.004566205201726,nan,nan,C_spectral_IC2_126bpm,C_spectral_IC4_123bpm
a17,99.99999999492427,99.99999999492427,nan,nan,C_TemplateSub_ICA3_IC3_132bpm,C_TemplateSub_ICA3_IC2_132bpm
a18,17.624521067895074,17.624521067895074,nan,nan,A_ICA1_direct_IC1_112bpm,A_ICA1_direct_IC1_112bpm
a19,99.99999999492127,99.99999999492127,nan,nan,C_TemplateSub_ICA3_IC3_127bpm,C_TemplateSub_ICA3_IC3_127bpm
a20,99.6197718580422,98.09885931051484,nan,nan,C_TemplateSub_ICA3_IC3_133bpm,C_TemplateSub_ICA3_IC3_133bpm
a21,78.32167831662454,79.02097901592475,nan,nan,C_TemplateSub_ICA3_IC1_145bpm,C_TemplateSub_ICA3_IC1_145bpm
a22,99.99999999492064,99.99999999492064,nan,nan,C_TemplateSub_ICA3_IC2_125bpm,C_TemplateSub_ICA3_IC2_125bpm
a23,99.99999999492064,99.99999999492064,nan,nan,C_TemplateSub_ICA3_IC3_127bpm,C_TemplateSub_ICA3_IC3_127bpm
a24,99.99999999491871,99.99999999491871,nan,nan,C_TemplateSub_ICA3_IC3_123bpm,C_TemplateSub_ICA3_IC3_123bpm
a25,99.99999999492,99.99999999492,nan,nan,C_TemplateSub_ICA3_IC3_125bpm,C_TemplateSub_ICA3_IC3_125bpm
a26,96.37681158913307,97.10144927029197,nan,nan,C_TemplateSub_ICA3_IC3_139bpm,C_TemplateSub_ICA3_IC1_139bpm
a27,91.44981412132613,96.26865671134635,nan,nan,C_TemplateSub_ICA3_IC1_136bpm,C_TemplateSub_ICA3_IC1_133bpm
a28,96.69669669163866,95.46827794056207,nan,nan,C_TemplateSub_ICA3_IC3_167bpm,C_TemplateSub_ICA3_IC3_166bpm
a29,66.14785991712819,68.72586872081752,nan,nan,C_TemplateSub_ICA3_IC1_137bpm,C_TemplateSub_ICA3_IC3_138bpm
a30,95.34050178704643,96.0573476651821,nan,nan,C_TemplateSub_ICA3_IC3_140bpm,C_TemplateSub_ICA3_IC1_140bpm
a31,99.27007298762828,98.54014598032954,nan,nan,C_TemplateSub_ICA3_IC3_137bpm,C_TemplateSub_ICA3_IC3_137bpm
a32,99.99999999493423,99.99999999493423,nan,nan,C_TemplateSub_ICA3_IC3_152bpm,C_TemplateSub_ICA3_IC1_152bpm
a33,91.48936169706305,91.48936169706305,nan,nan,A_ICA1_direct_IC1_144bpm,A_ICA1_direct_IC1_144bpm
a34,74.52471482384075,71.75572518578493,nan,nan,C_TemplateSub_ICA3_IC3_137bpm,C_TemplateSub_ICA3_IC4_138bpm
a35,97.5609756046968,98.17073170225741,nan,nan,C_TemplateSub_ICA3_IC3_165bpm,C_TemplateSub_ICA3_IC3_165bpm
a36,97.0059880188942,97.0059880188942,nan,nan,C_TemplateSub_ICA3_IC2_166bpm,C_TemplateSub_ICA3_IC2_167bpm
a37,99.9999999949296,99.9999999949296,nan,nan,C_TemplateSub_ICA3_IC1_141bpm,C_TemplateSub_ICA3_IC1_141bpm
a38,75.42087541584101,30.821917803226444,nan,nan,C_TemplateSub_ICA3_IC3_146bpm,A_ICA1_direct_IC1_142bpm
a39,99.25925925418574,99.25925925418574,nan,nan,C_TemplateSub_ICA3_IC1_136bpm,C_TemplateSub_ICA3_IC1_136bpm
a40,19.999999995002042,19.999999995002042,nan,nan,B_WSVD_ICA2_IC3_138bpm,B_WSVD_ICA2_IC3_138bpm
a41,98.8929889248164,99.99999999492648,nan,nan,A_ICA1_direct_IC3_135bpm,C_TemplateSub_ICA3_IC3_136bpm
a42,99.3377483393051,96.02649006116158,nan,nan,C_TemplateSub_ICA3_IC3_151bpm,C_TemplateSub_ICA3_IC2_151bpm
a43,99.99999999493672,99.99999999493672,nan,nan,C_TemplateSub_ICA3_IC3_158bpm,C_TemplateSub_ICA3_IC1_158bpm
