timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,mean_fhr_bpm,std_fhr_bpm,pct_in_range,pct_smooth,fhr_plausible,SNR_before_dB,SNR_after_dB,delta_SNR_dB
20260423_135519,a01,PHASE_cinc2013,,,,,97.2414,97.2414,97.2414,141.0,4.0,4.0,7.4582,145.0,145.0,147.87,19.45,95.83,87.41,1.0,1.155,-8.0738,-9.2287
20260423_135519,a02,PHASE_cinc2013,,,,,21.875,27.5591,24.3902,35.0,92.0,125.0,34.6105,127.0,160.0,131.58,25.59,87.3,73.6,1.0,2.9289,-0.801,-3.7299
20260423_135519,a03,PHASE_cinc2013,,,,,67.9687,69.0476,68.5039,87.0,39.0,41.0,15.5236,126.0,128.0,131.49,26.01,84.8,64.52,0.0,2.0684,-4.0443,-6.1127
20260423_135519,a04,PHASE_cinc2013,,,,,95.3488,97.619,96.4706,123.0,3.0,6.0,7.2624,126.0,129.0,128.98,16.37,95.2,87.1,1.0,3.7913,0.7195,-3.0718
20260423_135519,a05,PHASE_cinc2013,,,,,93.7984,96.0317,94.902,121.0,5.0,8.0,6.5415,126.0,129.0,127.58,14.08,95.2,87.1,1.0,4.1096,1.2161,-2.8935
20260423_135519,a06,PHASE_cinc2013,,,,,56.875,71.0937,63.1944,91.0,37.0,69.0,31.8872,128.0,160.0,139.41,36.11,71.65,46.83,0.0,1.1063,-8.0327,-9.139
20260423_135519,a07,PHASE_cinc2013,,,,,45.3846,52.2124,48.5597,59.0,54.0,71.0,28.718,113.0,130.0,132.7,40.67,68.75,44.14,0.0,1.3837,-6.2165,-7.6002
20260423_135519,a08,PHASE_cinc2013,,,,,97.6562,97.6562,97.6562,125.0,3.0,3.0,4.0092,128.0,128.0,128.14,10.03,97.64,96.03,1.0,2.4948,-1.963,-4.4578
20260423_135519,a09,PHASE_cinc2013,,,,,26.1538,30.3571,28.0992,34.0,78.0,96.0,32.0177,112.0,130.0,123.83,39.81,54.05,47.27,0.0,0.9845,-7.489,-8.4735
20260423_135519,a10,PHASE_cinc2013,,,,,70.8571,82.1192,76.0736,124.0,27.0,51.0,22.5831,151.0,175.0,160.01,32.15,62.67,59.73,0.0,1.4412,-5.6675,-7.1087
20260423_135519,a11,PHASE_cinc2013,,,,,58.5714,65.0794,61.6541,82.0,44.0,58.0,20.3003,126.0,140.0,133.99,30.47,78.4,56.45,0.0,1.5378,-5.0412,-6.579
20260423_135519,a12,PHASE_cinc2013,,,,,78.2609,80.597,79.4118,108.0,26.0,30.0,14.0051,134.0,138.0,138.75,24.73,86.47,70.45,1.0,1.7266,-5.1811,-6.9077
20260423_135519,a13,PHASE_cinc2013,,,,,97.619,100.0,98.7952,123.0,0.0,3.0,2.9331,123.0,126.0,124.39,10.33,97.54,95.87,1.0,2.596,-2.5148,-5.1108
20260423_135519,a14,PHASE_cinc2013,,,,,69.1057,75.2212,72.0339,85.0,28.0,38.0,20.0037,113.0,123.0,121.67,30.53,79.46,56.76,0.0,2.6614,-2.0341,-4.6954
