timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260515_185314,a01,PHASE_cinc2013,,,,,97.2414,97.9167,97.5779,141.0,3.0,4.0,2.3004,144.0,145.0
20260515_185314,a02,PHASE_cinc2013,,,,,13.75,21.3592,16.73,22.0,81.0,138.0,52.1695,103.0,160.0
20260515_185314,a03,PHASE_cinc2013,,,,,67.9687,70.1613,69.0476,87.0,37.0,41.0,16.2543,124.0,128.0
20260515_185314,a04,PHASE_cinc2013,,,,,94.5736,98.3871,96.4427,122.0,2.0,7.0,4.9711,124.0,129.0
20260515_185314,a05,PHASE_cinc2013,,,,,95.3488,99.1935,97.2332,123.0,1.0,6.0,5.0496,124.0,129.0
20260515_185314,a06,PHASE_cinc2013,,,,,56.25,73.1707,63.6042,90.0,33.0,70.0,34.1351,123.0,160.0
20260515_185314,a07,PHASE_cinc2013,,,,,45.3846,55.1402,49.789,59.0,48.0,71.0,27.6952,107.0,130.0
20260515_185314,a08,PHASE_cinc2013,,,,,97.6562,100.0,98.8142,125.0,0.0,3.0,2.6155,125.0,128.0
20260515_185314,a09,PHASE_cinc2013,,,,,26.9231,33.9806,30.0429,35.0,68.0,95.0,35.4217,103.0,130.0
20260515_185314,a10,PHASE_cinc2013,,,,,69.1429,84.6154,76.1006,121.0,22.0,54.0,27.532,143.0,175.0
20260515_185314,a11,PHASE_cinc2013,,,,,47.1429,52.381,49.6241,66.0,60.0,74.0,25.1275,126.0,140.0
20260515_185314,a12,PHASE_cinc2013,,,,,26.8116,28.6822,27.7154,37.0,92.0,101.0,25.1633,129.0,138.0
20260515_185314,a13,PHASE_cinc2013,,,,,23.0159,23.0159,23.0159,29.0,97.0,97.0,25.1704,126.0,126.0
20260515_185314,a14,PHASE_cinc2013,,,,,70.7317,77.6786,74.0426,87.0,25.0,36.0,17.1886,112.0,123.0
20260515_185314,a15,PHASE_cinc2013,,,,,97.7612,100.0,98.8679,131.0,0.0,3.0,2.7689,131.0,134.0
20260515_185314,a16,PHASE_cinc2013,,,,,16.1538,25.0,19.6262,21.0,63.0,109.0,45.9794,84.0,130.0
20260515_185314,a17,PHASE_cinc2013,,,,,93.9394,99.2,96.4981,124.0,1.0,8.0,6.268,125.0,132.0
20260515_185314,a18,PHASE_cinc2013,,,,,13.3333,19.6078,15.873,20.0,82.0,130.0,44.7713,102.0,150.0
20260515_185314,a19,PHASE_cinc2013,,,,,97.6378,99.2,98.4127,124.0,1.0,3.0,2.9675,125.0,127.0
20260515_185314,a20,PHASE_cinc2013,,,,,36.6412,37.7953,37.2093,48.0,79.0,83.0,24.8607,127.0,131.0
20260515_185314,a21,PHASE_cinc2013,,,,,76.5517,83.4586,79.8561,111.0,22.0,34.0,15.234,133.0,145.0
20260515_185314,a22,PHASE_cinc2013,,,,,96.0317,99.1803,97.5806,121.0,1.0,5.0,4.0067,122.0,126.0
20260515_185314,a23,PHASE_cinc2013,,,,,38.8889,37.1212,37.9845,49.0,83.0,77.0,21.7479,132.0,126.0
20260515_185314,a24,PHASE_cinc2013,,,,,36.5854,34.6154,35.5731,45.0,85.0,78.0,25.6522,130.0,123.0
20260515_185314,a25,PHASE_cinc2013,,,,,95.2,97.541,96.3563,119.0,3.0,6.0,4.0224,122.0,125.0
20260515_185314,a26,PHASE_cinc2013,,,,,87.6812,88.9706,88.3212,121.0,15.0,17.0,8.5774,136.0,138.0
20260515_185314,a27,PHASE_cinc2013,,,,,71.1111,75.0,73.0038,96.0,32.0,39.0,15.1894,128.0,135.0
20260515_185314,a28,PHASE_cinc2013,,,,,44.3114,61.157,51.3889,74.0,47.0,93.0,45.3701,121.0,167.0
20260515_185314,a29,PHASE_cinc2013,,,,,73.2283,72.6562,72.9412,93.0,35.0,34.0,14.4491,128.0,127.0
20260515_185314,a30,PHASE_cinc2013,,,,,55.7143,60.9375,58.209,78.0,50.0,62.0,21.8195,128.0,140.0
