timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,waveform_lag_samples
20260620_164324,a01,PHASE_cinc2013,,,,,95.1724,95.8333,95.5017,138.0,6.0,7.0,3.9735,144.0,145.0,0.0
20260620_164324,a02,PHASE_cinc2013,,,,,21.25,26.9841,23.7762,34.0,92.0,126.0,34.881,126.0,160.0,0.0
20260620_164324,a03,PHASE_cinc2013,,,,,93.75,100.0,96.7742,120.0,0.0,8.0,5.4449,120.0,128.0,0.0
20260620_164324,a04,PHASE_cinc2013,,,,,96.124,100.0,98.0237,124.0,0.0,5.0,4.4102,124.0,129.0,0.0
20260620_164324,a05,PHASE_cinc2013,,,,,95.3488,100.0,97.619,123.0,0.0,6.0,5.3139,123.0,129.0,0.0
20260620_164324,a06,PHASE_cinc2013,,,,,29.375,42.7273,34.8148,47.0,63.0,113.0,48.9705,110.0,160.0,0.0
20260620_164324,a07,PHASE_cinc2013,,,,,44.6154,50.4348,47.3469,58.0,57.0,72.0,27.9804,115.0,130.0,0.0
20260620_164324,a08,PHASE_cinc2013,,,,,97.6562,100.0,98.8142,125.0,0.0,3.0,2.8172,125.0,128.0,0.0
20260620_164324,a09,PHASE_cinc2013,,,,,37.6923,45.7944,41.3502,49.0,58.0,81.0,33.3832,107.0,130.0,0.0
20260620_164324,a10,PHASE_cinc2013,,,,,42.2857,54.4118,47.5884,74.0,62.0,101.0,42.0507,136.0,175.0,0.0
20260620_164324,a11,PHASE_cinc2013,,,,,22.8571,28.8288,25.498,32.0,79.0,108.0,38.746,111.0,140.0,0.0
20260620_164324,a12,PHASE_cinc2013,,,,,84.058,85.2941,84.6715,116.0,20.0,22.0,12.2149,136.0,138.0,0.0
20260620_164324,a13,PHASE_cinc2013,,,,,93.6508,99.1597,96.3265,118.0,1.0,8.0,5.6531,119.0,126.0,0.0
20260620_164324,a14,PHASE_cinc2013,,,,,91.0569,96.5517,93.7238,112.0,4.0,11.0,8.0661,116.0,123.0,0.0
20260620_164324,a15,PHASE_cinc2013,,,,,99.2537,99.2537,99.2537,133.0,1.0,1.0,4.135,134.0,134.0,0.0
20260620_164324,a16,PHASE_cinc2013,,,,,16.9231,20.1835,18.41,22.0,87.0,108.0,32.939,109.0,130.0,0.0
20260620_164324,a17,PHASE_cinc2013,,,,,99.2424,99.2424,99.2424,131.0,1.0,1.0,1.463,132.0,132.0,0.0
20260620_164324,a18,PHASE_cinc2013,,,,,16.0,21.6216,18.3908,24.0,87.0,126.0,39.6813,111.0,150.0,0.0
20260620_164324,a19,PHASE_cinc2013,,,,,94.4882,99.1736,96.7742,120.0,1.0,7.0,5.2761,121.0,127.0,0.0
20260620_164324,a20,PHASE_cinc2013,,,,,92.3664,98.374,95.2756,121.0,2.0,10.0,7.53,123.0,131.0,0.0
20260620_164324,a21,PHASE_cinc2013,,,,,33.1034,38.7097,35.6877,48.0,76.0,97.0,31.9536,124.0,145.0,0.0
20260620_164324,a22,PHASE_cinc2013,,,,,100.0,100.0,100.0,126.0,0.0,0.0,1.1772,126.0,126.0,0.0
20260620_164324,a23,PHASE_cinc2013,,,,,98.4127,99.2,98.8048,124.0,1.0,2.0,1.6233,125.0,126.0,0.0
20260620_164324,a24,PHASE_cinc2013,,,,,98.374,100.0,99.1803,121.0,0.0,2.0,2.0465,121.0,123.0,0.0
20260620_164324,a25,PHASE_cinc2013,,,,,67.2,72.4138,69.7095,84.0,32.0,41.0,17.6233,116.0,125.0,0.0
20260620_164324,a26,PHASE_cinc2013,,,,,86.2319,86.2319,86.2319,119.0,19.0,19.0,9.2261,138.0,138.0,0.0
20260620_164324,a27,PHASE_cinc2013,,,,,77.7778,78.9474,78.3582,105.0,28.0,30.0,13.383,133.0,135.0,0.0
20260620_164324,a28,PHASE_cinc2013,,,,,88.6228,99.3289,93.6709,148.0,1.0,19.0,14.4393,149.0,167.0,0.0
20260620_164324,a29,PHASE_cinc2013,,,,,74.8031,74.8031,74.8031,95.0,32.0,32.0,17.4747,127.0,127.0,0.0
20260620_164324,a30,PHASE_cinc2013,,,,,45.0,46.3235,45.6522,63.0,73.0,77.0,23.8153,136.0,140.0,0.0
20260620_164324,a31,PHASE_cinc2013,,,,,31.3869,31.3869,31.3869,43.0,94.0,94.0,24.2204,137.0,137.0,0.0
20260620_164324,a32,PHASE_cinc2013,,,,,100.0,100.0,100.0,152.0,0.0,0.0,4.3329,152.0,152.0,0.0
20260620_164324,a33,PHASE_cinc2013,,,,,94.2857,91.6667,92.9577,132.0,12.0,8.0,6.297,144.0,140.0,0.0
20260620_164324,a34,PHASE_cinc2013,,,,,51.145,48.9051,50.0,67.0,70.0,64.0,21.4719,137.0,131.0,0.0
20260620_164324,a35,PHASE_cinc2013,,,,,87.7301,97.9452,92.5566,143.0,3.0,20.0,15.9444,146.0,163.0,0.0
20260620_164324,a36,PHASE_cinc2013,,,,,86.9048,98.6486,92.4051,146.0,2.0,22.0,16.0654,148.0,168.0,0.0
20260620_164324,a37,PHASE_cinc2013,,,,,47.8873,67.3267,55.9671,68.0,33.0,74.0,39.2088,101.0,142.0,0.0
20260620_164324,a38,PHASE_cinc2013,,,,,40.7643,50.0,44.9123,64.0,64.0,93.0,42.0116,128.0,157.0,0.0
20260620_164324,a39,PHASE_cinc2013,,,,,23.7037,22.8571,23.2727,32.0,108.0,103.0,24.038,140.0,135.0,0.0
20260620_164324,a40,PHASE_cinc2013,,,,,16.8919,18.797,17.7936,25.0,108.0,123.0,24.6971,133.0,148.0,0.0
20260620_164324,a41,PHASE_cinc2013,,,,,98.5294,99.2593,98.893,134.0,1.0,2.0,3.507,135.0,136.0,0.0
20260620_164324,a42,PHASE_cinc2013,,,,,91.3907,99.2806,95.1724,138.0,1.0,13.0,11.4661,139.0,151.0,0.0
20260620_164324,a43,PHASE_cinc2013,,,,,98.7342,100.0,99.3631,156.0,0.0,2.0,5.2937,156.0,158.0,0.0
20260620_164324,a44,PHASE_cinc2013,,,,,92.0245,100.0,95.8466,150.0,0.0,13.0,10.4527,150.0,163.0,0.0
20260620_164324,a45,PHASE_cinc2013,,,,,92.1429,90.8451,91.4894,129.0,13.0,11.0,9.271,142.0,140.0,0.0
20260620_164324,a46,PHASE_cinc2013,,,,,86.2595,86.2595,86.2595,113.0,18.0,18.0,8.2407,131.0,131.0,0.0
20260620_164324,a47,PHASE_cinc2013,,,,,90.9722,91.6084,91.2892,131.0,12.0,13.0,10.0124,143.0,144.0,0.0
20260620_164324,a48,PHASE_cinc2013,,,,,94.7368,92.6471,93.6803,126.0,10.0,7.0,5.3425,136.0,133.0,0.0
20260620_164324,a49,PHASE_cinc2013,,,,,92.5676,93.8356,93.1973,137.0,9.0,11.0,3.6769,146.0,148.0,0.0
20260620_164324,a50,PHASE_cinc2013,,,,,97.8873,98.5816,98.2332,139.0,2.0,3.0,3.7097,141.0,142.0,0.0
20260620_164324,a51,PHASE_cinc2013,,,,,40.146,41.0448,40.5904,55.0,79.0,82.0,24.0614,134.0,137.0,0.0
