timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,ica2_pca_n_components,ica2_excluded_maternal_residual_ic_index,path_b_selected_ic_index,path_b_selected_ic_peak_count,path_b_selected_ic_hr_bpm,path_b_selected_ic_is_valid,path_b_selected_ic_stability,path_b_selected_ic_score,path_b_adaptive_filter_used,path_c_enabled,path_c_selected_ic_index,path_c_selected_ic_hr_bpm,path_c_selected_ic_is_valid,path_c_selected_ic_stability,path_c_selected_ic_score,path_c_template_energy_reduction_pct,path_c_template_n_beats,sqi_fusion_enabled,chosen_sqi,periodicity_score_enabled,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,harmonic_confusion,sparse_annotation,ekf_used,ekf_use_rts,final_peak_count,final_hr_bpm
20260701_141524,a01,PHASE_cinc2013_metadata,3.0,2.0,0.0,145.0,148.0174,1.0,0.4003,0.6155,3.0,-1.0,2.0,142.0,145.9976,1.0,1.0,0.6074,1.0,1.0,1.0,146.9417,1.0,0.6002,0.5719,91.4502,80.0,1.0,0.5011,1.0,A_ICA1_direct_IC1_148bpm,0.0,148.0174,145.0,0.6155,0.4003,0.0,0.3,0.0,0.0,1.0,1.0,145.0,148.0337
20260701_141524,a02,PHASE_cinc2013_metadata,3.0,1.0,2.0,126.0,127.474,1.0,0.5004,0.4952,3.0,-1.0,2.0,126.0,127.4811,1.0,1.0,0.4811,1.0,1.0,0.0,129.2168,1.0,0.3447,0.2249,82.6043,80.0,1.0,0.6625,1.0,A_ICA1_direct_IC3_127bpm,2.0,127.474,126.0,0.4952,0.5004,0.0,0.3,0.0,0.0,1.0,1.0,126.0,127.4776
20260701_141524,a03,PHASE_cinc2013_metadata,3.0,2.0,1.0,127.0,131.3588,1.0,0.9995,0.319,3.0,-1.0,2.0,102.0,103.122,0.0,1.0,0.0227,1.0,1.0,1.0,128.6164,1.0,1.0,0.7041,89.8255,101.0,1.0,0.5555,1.0,C_TemplateSub_ICA3_IC2_129bpm,1.0,128.6164,128.0,0.7041,1.0,0.0,0.3,0.0,0.0,1.0,1.0,128.0,128.6194
20260701_141524,a04,PHASE_cinc2013_metadata,3.0,2.0,1.0,130.0,131.1147,1.0,0.4001,1.0717,3.0,-1.0,0.0,129.0,132.4732,1.0,1.0,0.6956,1.0,1.0,2.0,130.031,1.0,1.0,1.4792,89.1238,79.0,1.0,0.6346,1.0,C_TemplateSub_ICA3_IC3_130bpm,2.0,130.031,129.0,1.4792,1.0,0.0,0.3,0.0,0.0,1.0,1.0,129.0,130.0403
20260701_141524,a05,PHASE_cinc2013_metadata,3.0,1.0,2.0,128.0,128.6987,1.0,0.4,0.8775,3.0,-1.0,1.0,128.0,129.4002,1.0,1.0,0.7357,1.0,1.0,2.0,128.709,1.0,0.6,1.7163,85.5988,82.0,1.0,0.6461,1.0,C_TemplateSub_ICA3_IC3_129bpm,2.0,128.709,129.0,1.7163,0.6,0.0,0.3,0.0,0.0,1.0,1.0,129.0,128.7116
20260701_141524,a06,PHASE_cinc2013_metadata,3.0,1.0,0.0,131.0,141.9957,1.0,1.0,0.4322,3.0,-1.0,2.0,100.0,100.5422,0.0,1.0,0.0,1.0,1.0,3.0,130.4353,1.0,1.0,0.3528,97.4172,100.0,1.0,0.4479,1.0,A_ICA1_direct_IC1_142bpm,0.0,141.9957,131.0,0.4322,1.0,0.0,0.3,0.0,0.0,1.0,1.0,132.0,142.7862
20260701_141524,a07,PHASE_cinc2013_metadata,3.0,1.0,2.0,114.0,134.4717,1.0,0.6024,0.2109,3.0,-1.0,2.0,100.0,109.1776,1.0,1.0,0.0635,1.0,1.0,3.0,128.2017,1.0,1.0,0.2417,94.675,90.0,1.0,0.3593,1.0,C_spectral_IC4_128bpm,3.0,128.2017,118.0,0.2417,1.0,1.0,0.3,0.0,0.0,1.0,1.0,118.0,128.1733
20260701_141524,a08,PHASE_cinc2013_metadata,3.0,2.0,1.0,128.0,127.9259,1.0,0.4,1.1081,3.0,0.0,2.0,128.0,127.9277,1.0,0.6001,0.9299,1.0,1.0,2.0,127.5251,1.0,1.0,2.4582,80.7223,73.0,1.0,0.7367,1.0,C_TemplateSub_ICA3_IC3_128bpm,2.0,127.5251,128.0,2.4582,1.0,0.0,0.3,0.0,0.0,1.0,1.0,128.0,127.527
20260701_141524,a09,PHASE_cinc2013_metadata,3.0,1.0,0.0,103.0,125.3802,1.0,0.6006,0.1927,3.0,-1.0,0.0,20.0,71.9968,0.0,0.2,0.0,1.0,1.0,0.0,130.6848,1.0,0.3735,0.2165,94.2601,84.0,1.0,0.3506,1.0,C_spectral_IC1_131bpm,0.0,130.6848,119.0,0.2165,0.3735,1.0,0.3,0.0,0.0,1.0,1.0,120.0,132.1554
20260701_141524,a10,PHASE_cinc2013_metadata,3.0,1.0,2.0,148.0,157.1741,1.0,1.0,0.4153,3.0,-1.0,2.0,110.0,110.5241,0.0,1.0,0.2101,1.0,1.0,2.0,158.5142,1.0,0.6,0.4055,97.3122,100.0,1.0,0.4016,1.0,A_ICA1_direct_IC3_157bpm,2.0,157.1741,148.0,0.4153,1.0,0.0,0.3,0.0,0.0,1.0,1.0,150.0,159.0367
