timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,ica2_pca_n_components,ica2_excluded_maternal_residual_ic_index,path_b_selected_ic_index,path_b_selected_ic_peak_count,path_b_selected_ic_hr_bpm,path_b_selected_ic_is_valid,path_b_selected_ic_stability,path_b_selected_ic_score,path_b_adaptive_filter_used,ts_integration_mode,wsvd_energy_reduction_pct,wsvd_n_beats_checked,ts_refinement_used,ts_refinement_energy_reduction_pct,ts_refinement_n_beats_checked,path_c_enabled,path_c_selected_ic_index,path_c_selected_ic_hr_bpm,path_c_selected_ic_is_valid,path_c_selected_ic_stability,path_c_selected_ic_score,path_c_template_energy_reduction_pct,path_c_template_n_beats,sqi_fusion_enabled,chosen_sqi,periodicity_score_enabled,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,harmonic_confusion,sparse_annotation,ekf_used,ekf_use_rts,final_peak_count,final_hr_bpm
20260702_102226,a01,PHASE_cinc2013_metadata,3.0,2.0,0.0,145.0,148.0174,1.0,0.4003,0.6155,3.0,-1.0,2.0,143.0,147.0193,1.0,1.0,0.5481,1.0,cascade,22.1616,80.0,1.0,92.8243,80.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_148bpm,0.0,148.0174,145.0,0.6155,0.4003,0.0,0.3,0.0,0.0,1.0,1.0,145.0,148.0337
20260702_102226,a02,PHASE_cinc2013_metadata,3.0,1.0,2.0,126.0,127.474,1.0,0.5004,0.4952,3.0,-1.0,0.0,12.0,32.9771,0.0,0.3246,0.0,1.0,cascade,86.7688,80.0,1.0,72.9338,80.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC3_127bpm,2.0,127.474,126.0,0.4952,0.5004,0.0,0.3,0.0,0.0,1.0,1.0,126.0,127.4776
20260702_102226,a03,PHASE_cinc2013_metadata,3.0,2.0,1.0,127.0,131.3588,1.0,0.9995,0.319,3.0,-1.0,2.0,128.0,129.143,1.0,1.0,1.0998,1.0,cascade,70.4219,101.0,1.0,83.3607,101.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_129bpm,2.0,129.143,128.0,1.0998,1.0,0.0,0.3,0.0,0.0,1.0,1.0,128.0,129.143
20260702_102226,a04,PHASE_cinc2013_metadata,3.0,2.0,1.0,130.0,131.1147,1.0,0.4001,1.0717,3.0,-1.0,1.0,129.0,130.1524,1.0,1.0,0.9651,1.0,cascade,67.3595,79.0,1.0,67.4607,79.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC2_131bpm,1.0,131.1147,130.0,1.0717,0.4001,0.0,0.3,0.0,0.0,1.0,1.0,130.0,131.2448
20260702_102226,a05,PHASE_cinc2013_metadata,3.0,1.0,2.0,128.0,128.6987,1.0,0.4,0.8775,3.0,-1.0,1.0,129.0,129.035,1.0,1.0,1.3075,1.0,cascade,63.1662,82.0,1.0,64.8785,82.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC2_129bpm,1.0,129.035,129.0,1.3075,1.0,0.0,0.3,0.0,0.0,1.0,1.0,129.0,129.033
20260702_102226,a06,PHASE_cinc2013_metadata,3.0,1.0,0.0,131.0,141.9957,1.0,1.0,0.4322,3.0,-1.0,2.0,111.0,122.4742,1.0,1.0,0.2242,1.0,cascade,80.8636,100.0,1.0,90.9304,100.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_142bpm,0.0,141.9957,131.0,0.4322,1.0,0.0,0.3,0.0,0.0,1.0,1.0,132.0,142.7862
20260702_102226,a07,PHASE_cinc2013_metadata,3.0,1.0,2.0,114.0,134.4717,1.0,0.6024,0.2109,3.0,-1.0,2.0,121.0,130.9464,1.0,1.0,0.2526,1.0,cascade,79.3844,90.0,1.0,82.245,90.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_131bpm,2.0,130.9464,121.0,0.2526,1.0,1.0,0.3,0.0,0.0,1.0,1.0,122.0,131.932
20260702_102226,a08,PHASE_cinc2013_metadata,3.0,2.0,1.0,128.0,127.9259,1.0,0.4,1.1081,3.0,-1.0,2.0,128.0,127.5289,1.0,1.0,2.4438,1.0,cascade,39.3117,73.0,1.0,69.5445,73.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_128bpm,2.0,127.5289,128.0,2.4438,1.0,0.0,0.3,0.0,0.0,1.0,1.0,128.0,127.5281
20260702_102226,a09,PHASE_cinc2013_metadata,3.0,1.0,0.0,103.0,125.3802,1.0,0.6006,0.1927,3.0,-1.0,0.0,20.0,72.5389,0.0,0.2,0.0,1.0,cascade,88.3325,84.0,1.0,91.2984,84.0,0.0,,,0.0,,,,,1.0,,1.0,A_spectral_IC1_125bpm,0.0,125.3802,103.0,0.1927,0.6006,1.0,0.3,0.0,0.0,1.0,1.0,104.0,126.6346
20260702_102226,a10,PHASE_cinc2013_metadata,3.0,1.0,2.0,148.0,157.1741,1.0,1.0,0.4153,3.0,-1.0,2.0,127.0,138.8889,1.0,1.0,0.4802,1.0,cascade,80.968,100.0,1.0,90.5104,100.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_139bpm,2.0,138.8889,127.0,0.4802,1.0,0.0,0.3,0.0,0.0,1.0,1.0,127.0,138.8657
