timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,path_c_enabled,path_c_selected_ic_index,path_c_selected_ic_hr_bpm,path_c_selected_ic_is_valid,path_c_selected_ic_stability,path_c_selected_ic_score,path_c_template_energy_reduction_pct,path_c_template_n_beats,sqi_fusion_enabled,chosen_sqi,periodicity_score_enabled,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,path_disagreement_bpm,expected_fhr_prior_bpm,expected_fhr_prior_confidence,harmonic_confusion,sparse_annotation,ekf_used,ekf_use_rts,final_peak_count,final_hr_bpm
20260707_205135,a01,PHASE_cinc2013_metadata,3.0,2.0,0.0,145.0,148.0174,1.0,0.4003,0.9151,1.0,1.0,147.0629,1.0,1.0,0.9101,91.9307,80.0,1.0,0.5011,1.0,A_ICA1_direct_IC1_148bpm,0.0,148.0174,145.0,0.9151,0.4003,0.0,0.3,0.9545,140.0757,12.5963,0.0,0.0,1.0,1.0,145.0,148.0337
20260707_205135,a02,PHASE_cinc2013_metadata,3.0,1.0,2.0,126.0,127.474,1.0,0.5004,0.7646,1.0,0.0,129.8247,1.0,1.0,0.3003,82.7512,80.0,1.0,0.6625,1.0,A_ICA1_direct_IC3_127bpm,2.0,127.474,126.0,0.7646,0.5004,0.0,0.3,2.3507,110.7788,17.6452,0.0,0.0,1.0,1.0,126.0,127.4776
20260707_205135,a03,PHASE_cinc2013_metadata,3.0,2.0,1.0,127.0,131.3588,1.0,0.9995,0.4236,1.0,2.0,128.6542,1.0,1.0,1.0855,89.9888,101.0,1.0,0.5496,1.0,C_TemplateSub_ICA3_IC3_129bpm,2.0,128.6542,128.0,1.0855,1.0,0.0,0.3,2.7046,185.8521,16.827,0.0,0.0,1.0,1.0,128.0,128.6578
20260707_205135,a04,PHASE_cinc2013_metadata,3.0,2.0,1.0,130.0,131.1147,1.0,0.4001,1.539,1.0,2.0,130.0292,1.0,1.0,2.3096,89.2757,79.0,1.0,0.6311,1.0,C_TemplateSub_ICA3_IC3_130bpm,2.0,130.0292,129.0,2.3096,1.0,0.0,0.3,1.0855,143.7378,2.1903,0.0,0.0,1.0,1.0,129.0,130.0403
20260707_205135,a05,PHASE_cinc2013_metadata,3.0,1.0,2.0,128.0,128.6987,1.0,0.4,1.3093,1.0,2.0,128.717,1.0,0.6,2.6306,85.8441,82.0,1.0,0.6416,1.0,C_TemplateSub_ICA3_IC3_129bpm,2.0,128.717,129.0,2.6306,0.6,0.0,0.3,0.0184,103.4546,2.2428,0.0,0.0,1.0,1.0,129.0,128.7194
20260707_205135,a06,PHASE_cinc2013_metadata,3.0,1.0,2.0,131.0,141.9957,1.0,1.0,0.5819,1.0,2.0,130.3169,1.0,1.0,0.4601,97.4621,100.0,1.0,0.4479,1.0,A_ICA1_direct_IC3_142bpm,2.0,141.9957,131.0,0.5819,1.0,1.0,0.3,11.6788,174.8657,16.3129,0.0,0.0,1.0,1.0,132.0,142.7862
20260707_205135,a07,PHASE_cinc2013_metadata,3.0,1.0,0.0,114.0,134.7996,1.0,0.4071,0.277,1.0,3.0,128.022,1.0,1.0,0.3521,94.751,90.0,1.0,0.3524,1.0,C_TemplateSub_ICA3_IC4_128bpm,3.0,128.022,117.0,0.3521,1.0,0.0,0.3,6.7775,158.3862,4.3316,0.0,0.0,1.0,1.0,117.0,127.9414
20260707_205135,a08,PHASE_cinc2013_metadata,3.0,2.0,1.0,128.0,127.9259,1.0,0.4,1.6616,1.0,2.0,127.5327,1.0,1.0,3.6515,81.1907,73.0,1.0,0.7353,1.0,C_TemplateSub_ICA3_IC3_128bpm,2.0,127.5327,128.0,3.6515,1.0,0.0,0.3,0.3932,103.4546,3.3479,0.0,0.0,1.0,1.0,128.0,127.5345
20260707_205135,a09,PHASE_cinc2013_metadata,3.0,1.0,0.0,103.0,125.3802,1.0,0.6006,0.257,1.0,0.0,128.1211,1.0,1.0,0.2752,94.1491,84.0,1.0,0.3572,1.0,C_TemplateSub_ICA3_IC1_128bpm,0.0,128.1211,117.0,0.2752,1.0,1.0,0.3,2.7409,160.2173,20.1936,0.0,0.0,1.0,1.0,117.0,128.4892
20260707_205135,a10,PHASE_cinc2013_metadata,3.0,1.0,2.0,148.0,157.1741,1.0,1.0,0.5633,1.0,2.0,156.5421,1.0,0.6,0.5552,97.3439,100.0,1.0,0.4016,1.0,A_ICA1_direct_IC3_157bpm,2.0,157.1741,148.0,0.5633,1.0,0.0,0.3,0.6321,120.8496,23.197,0.0,0.0,1.0,1.0,150.0,159.0367
