timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260421_155851,ecgca102,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,412.0,0.0,,412.0,0.0
20260421_155851,ecgca115,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,1199.0,0.0,,1199.0,0.0
20260421_155851,ecgca127,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,1524.0,0.0,,1524.0,0.0
20260421_155851,ecgca154,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,560.0,0.0,,560.0,0.0
20260421_155851,ecgca192,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,29.0,0.0,,29.0,0.0
20260421_155851,ecgca244,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,1153.0,0.0,,1153.0,0.0
20260421_155851,ecgca252,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,1216.0,0.0,,1216.0,0.0
20260421_155851,ecgca274,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,759.0,0.0,,759.0,0.0
20260421_155851,ecgca290,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,2181.0,0.0,,2181.0,0.0
20260421_155851,ecgca300,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,315.0,0.0,,315.0,0.0
20260421_155851,ecgca308,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,1154.0,0.0,,1154.0,0.0
20260421_155851,ecgca323,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,942.0,0.0,,942.0,0.0
20260421_155851,ecgca368,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,783.0,0.0,,783.0,0.0
20260421_155851,ecgca384,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,995.0,0.0,,995.0,0.0
20260421_155851,ecgca392,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,800.0,0.0,,800.0,0.0
20260421_155851,ecgca410,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,291.0,0.0,,291.0,0.0
20260421_155851,ecgca416,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,38.0,0.0,,38.0,0.0
20260421_155851,ecgca436,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,77.0,0.0,,77.0,0.0
20260421_155851,ecgca444,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,2799.0,0.0,,2799.0,0.0
20260421_155851,ecgca445,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,339.0,0.0,,339.0,0.0
20260421_155851,ecgca515,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,73.0,0.0,,73.0,0.0
20260421_155851,ecgca571,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,27.0,0.0,,27.0,0.0
20260421_155851,ecgca595,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,608.0,0.0,,608.0,0.0
20260421_155851,ecgca597,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,2462.0,0.0,,2462.0,0.0
20260421_155851,ecgca621,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,1738.0,0.0,,1738.0,0.0
20260421_155851,ecgca629,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,801.0,0.0,,801.0,0.0
20260421_155851,ecgca649,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,2470.0,0.0,,2470.0,0.0
20260421_155851,ecgca659,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,1348.0,0.0,,1348.0,0.0
20260421_155851,ecgca699,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,466.0,0.0,,466.0,0.0
20260421_155851,ecgca711,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,1609.0,0.0,,1609.0,0.0
20260421_155851,ecgca733,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,2351.0,0.0,,2351.0,0.0
20260421_155851,ecgca746,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,1435.0,0.0,,1435.0,0.0
20260421_155851,ecgca748,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,633.0,0.0,,633.0,0.0
20260421_155851,ecgca771,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,5470.0,0.0,,5470.0,0.0
20260421_155851,ecgca776,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,897.0,0.0,,897.0,0.0
20260421_155851,ecgca811,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,646.0,0.0,,646.0,0.0
20260421_155851,ecgca816,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,5.0,0.0,,5.0,0.0
20260421_155851,ecgca826,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,446.0,0.0,,446.0,0.0
20260421_155851,ecgca840,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,526.0,0.0,,526.0,0.0
20260421_155851,ecgca876,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,424.0,0.0,,424.0,0.0
20260421_155851,ecgca880,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,716.0,0.0,,716.0,0.0
20260421_155851,ecgca886,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,906.0,0.0,,906.0,0.0
20260421_155851,ecgca896,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,15.0,0.0,,15.0,0.0
20260421_155851,ecgca900,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,221.0,0.0,,221.0,0.0
20260421_155851,ecgca902,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,458.0,0.0,,458.0,0.0
20260421_155851,ecgca906,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,3234.0,0.0,,3234.0,0.0
20260421_155851,ecgca986,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,668.0,0.0,,668.0,0.0
20260421_155851,ecgca997,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,15.0,0.0,,15.0,0.0
20260421_155851,ecgca998,PHASE_nifecgdb,,,,,0.0,0.0,0.0,0.0,69.0,0.0,,69.0,0.0
