timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260521_092205,a01,PHASE-PEAK-FUSION,,,,,97.2414,97.2414,97.2414,141.0,4.0,4.0,7.4105,145.0,145.0
20260521_092205,a02,PHASE-PEAK-FUSION,,,,,24.375,30.2326,26.9896,39.0,90.0,121.0,33.2138,129.0,160.0
20260521_092205,a03,PHASE-PEAK-FUSION,,,,,65.625,67.2,66.4032,84.0,41.0,44.0,16.6828,125.0,128.0
20260521_092205,a04,PHASE-PEAK-FUSION,,,,,94.5736,96.063,95.3125,122.0,5.0,7.0,7.0256,127.0,129.0
20260521_092205,a05,PHASE-PEAK-FUSION,,,,,96.124,96.875,96.4981,124.0,4.0,5.0,4.6451,128.0,129.0
20260521_092205,a06,PHASE-PEAK-FUSION,,,,,56.875,68.4211,62.116,91.0,42.0,69.0,29.5036,133.0,160.0
20260521_092205,a07,PHASE-PEAK-FUSION,,,,,33.0769,35.8333,34.4,43.0,77.0,87.0,30.424,120.0,130.0
20260521_092205,a08,PHASE-PEAK-FUSION,,,,,100.0,100.0,100.0,128.0,0.0,0.0,2.7248,128.0,128.0
20260521_092205,a09,PHASE-PEAK-FUSION,,,,,30.7692,33.8983,32.2581,40.0,78.0,90.0,29.2859,118.0,130.0
20260521_092205,a10,PHASE-PEAK-FUSION,,,,,70.2857,82.0,75.6923,123.0,27.0,52.0,23.1098,150.0,175.0
20260521_092205,a11,PHASE-PEAK-FUSION,,,,,35.7143,40.3226,37.8788,50.0,74.0,90.0,29.9413,124.0,140.0
20260521_092205,a12,PHASE-PEAK-FUSION,,,,,81.8841,83.0882,82.4818,113.0,23.0,25.0,13.0168,136.0,138.0
20260521_092205,a13,PHASE-PEAK-FUSION,,,,,51.5873,56.5217,53.9419,65.0,50.0,61.0,26.3148,115.0,126.0
20260521_092205,a14,PHASE-PEAK-FUSION,,,,,69.1057,72.6496,70.8333,85.0,32.0,38.0,19.8728,117.0,123.0
20260521_092205,a15,PHASE-PEAK-FUSION,,,,,100.0,100.0,100.0,134.0,0.0,0.0,2.9532,134.0,134.0
20260521_092205,a16,PHASE-PEAK-FUSION,,,,,17.6923,20.0,18.7755,23.0,92.0,107.0,32.2112,115.0,130.0
20260521_092205,a17,PHASE-PEAK-FUSION,,,,,96.2121,97.6923,96.9466,127.0,3.0,5.0,4.6316,130.0,132.0
20260521_092205,a18,PHASE-PEAK-FUSION,,,,,16.0,20.339,17.9104,24.0,94.0,126.0,36.3504,118.0,150.0
20260521_092205,a19,PHASE-PEAK-FUSION,,,,,44.8819,49.1379,46.9136,57.0,59.0,70.0,30.3354,116.0,127.0
20260521_092205,a20,PHASE-PEAK-FUSION,,,,,51.145,53.6,52.3437,67.0,58.0,64.0,23.4829,125.0,131.0
20260521_092205,a21,PHASE-PEAK-FUSION,,,,,77.931,81.295,79.5775,113.0,26.0,32.0,13.0812,139.0,145.0
20260521_092205,a22,PHASE-PEAK-FUSION,,,,,100.0,100.0,100.0,126.0,0.0,0.0,1.9181,126.0,126.0
20260521_092205,a23,PHASE-PEAK-FUSION,,,,,57.1429,57.1429,57.1429,72.0,54.0,54.0,19.2449,126.0,126.0
20260521_092205,a24,PHASE-PEAK-FUSION,,,,,52.8455,57.0175,54.8523,65.0,49.0,58.0,25.0949,114.0,123.0
20260521_092205,a25,PHASE-PEAK-FUSION,,,,,40.8,45.5357,43.038,51.0,61.0,74.0,33.5472,112.0,125.0
20260521_092205,a26,PHASE-PEAK-FUSION,,,,,84.7826,86.0294,85.4015,117.0,19.0,21.0,10.8693,136.0,138.0
20260521_092205,a27,PHASE-PEAK-FUSION,,,,,59.2593,62.5,60.8365,80.0,48.0,55.0,21.0363,128.0,135.0
20260521_092205,a28,PHASE-PEAK-FUSION,,,,,28.7425,42.1053,34.1637,48.0,66.0,119.0,58.0552,114.0,167.0
20260521_092205,a29,PHASE-PEAK-FUSION,,,,,66.9291,65.3846,66.1479,85.0,45.0,42.0,19.5614,130.0,127.0
20260521_092205,a30,PHASE-PEAK-FUSION,,,,,22.8571,26.2295,24.4275,32.0,90.0,108.0,29.1079,122.0,140.0
20260521_092205,a31,PHASE-PEAK-FUSION,,,,,21.1679,22.1374,21.6418,29.0,102.0,108.0,26.677,131.0,137.0
20260521_092205,a32,PHASE-PEAK-FUSION,,,,,100.0,100.0,100.0,152.0,0.0,0.0,3.7711,152.0,152.0
20260521_092205,a33,PHASE-PEAK-FUSION,,,,,92.8571,90.2778,91.5493,130.0,14.0,10.0,7.1287,144.0,140.0
20260521_092205,a34,PHASE-PEAK-FUSION,,,,,40.458,41.4062,40.9266,53.0,75.0,78.0,24.6219,128.0,131.0
20260521_092205,a35,PHASE-PEAK-FUSION,,,,,35.5828,50.0,41.5771,58.0,58.0,105.0,50.9035,116.0,163.0
20260521_092205,a36,PHASE-PEAK-FUSION,,,,,22.619,38.3838,28.4644,38.0,61.0,130.0,68.9304,99.0,168.0
20260521_092205,a37,PHASE-PEAK-FUSION,,,,,30.9859,35.4839,33.0827,44.0,80.0,98.0,30.2617,124.0,142.0
20260521_092205,a38,PHASE-PEAK-FUSION,,,,,53.5032,60.4317,56.7568,84.0,55.0,73.0,33.1218,139.0,157.0
20260521_092205,a39,PHASE-PEAK-FUSION,,,,,23.7037,25.1969,24.4275,32.0,95.0,103.0,28.9197,127.0,135.0
20260521_092205,a40,PHASE-PEAK-FUSION,,,,,16.2162,17.7778,16.9611,24.0,111.0,124.0,23.4723,135.0,148.0
